participant,\sigma_q,\mu_a,\sigma_a,\sigma_d,\alpha,\rho,\sigma_m,\alpha_e
I,0.05,0.9,0.01,0.01,50,0.1,0.05,0.5
V,0.1,0.9,0.1,0.1,10,0.9,NaN,10
A,0.0089,0.9425,0.0012,0.00082,9,0.2501,0.0182,NaN
E1,0.123386179609068,0.882713184657905,0.0182212766982799,0.00764274874631526,123.762339420259,0.269917639525033,0.0901448380637248,0
E2,0.117223174937286,0.857759957562666,0.0119312049047846,0.00593467539863508,11.843988832133,0.0476724272945936,0.0882571716967504,0
E3,0.0705224877388514,0.94602556966548,0.00128436009194629,0.00510516489821398,9993529.67097055,0.391125419908643,0.0715049219590128,0
E4,0.144102863175666,0.912086403369904,0.00030488704115259,0.00867025820230164,380.995827432732,0.128471605220758,0.0803817749023437,0
E5,0.0559494652092859,0.964255487776245,0.0030100828548028,0.0049338181240566,28.6603564947636,0.00440745420962046,0.0965550221080775,0
E6,0.098998576415059,0.840483265106923,0.00233806493789974,0.00706328969322483,161.796512808229,0.533610179582175,0.100037774826183,0
E7,0.0925855288760981,0.942195129394531,1.63032278323742e-05,0.00332659792895639,3676943.08868205,0.000250222428741769,0.093607497215271,0
E8,0.111905564954366,0.946575070865811,5.99349941300338e-05,0.00754982127433499,229.80111424451,0.00695267444449566,0.0780891340685645,0
S1,0.123657227808795,0.956147866506217,1.46866705115083e-05,0.00910170638640879,7.1120104873549,0.0208212213012282,0.0836475639545824,0
S2,0.159072104635251,0.799604320526123,0.692619749800776,0.000143641827527902,30.5129833848183,0.329668669075522,0.0640906453132629,0
S3,0.0668427646451887,0.942687275968057,1.21678886669491e-05,4.66124366959631e-05,1768.8598014756,0.452151315769613,0.0961230674999652,0
S4,0.0392146392865464,0.785694569932821,0.0104626508523833,0.00592573896373722,2.37217163750873,0.0151818425527175,0.0929041130773839,0
S5,0.0330712176293892,0.930824948102236,0.00418597837578561,2.77086467071693e-05,111516.717081712,0.176597682998241,0.0846191801130772,0
S6,0.102618475915592,0.808751416159794,0.0110495549121302,0.0010139546832552,8.92151288184366,0.00155295559192478,0.106016373308375,0
S7,0.0775262954121373,0.847995328777461,1.56973795897591e-05,0.00643581458023453,0.00194318822471142,0.999899968772722,0.0977700695055319,0
S8,0.126006091116506,0.948807682645384,0.000806001636805237,0.00621573355050836,22.4113812464254,0.0869011523003417,0.0661013686501974,0
M1,0.0364293957325146,0.883342850208283,6.0722665232313e-05,0.00439427623132063,491.683547741806,0.00408598147082305,0.14097216129303,0.399942223057694
M2,0.0938491865506858,0.73091287612915,0.00106465126529518,0.00153879243394463,22452.9072840145,0.011783988771931,0.11526415348053,14.8603003706692
M3,0.109095280426476,0.785255825519562,0.00076156307744883,0.00386684497410362,2070.48195923867,0.0313958742635629,0.164447817951441,1.00300853001976
M4,0.0412300610950185,0.72736902738626,0.00885351199167319,0.0129821847905712,0.128620794189423,0.00620132298014789,0.0921129854158437,3034.87175639465
M5,0.055969570957554,0.916397338546813,3.28285213531768e-05,0.00138063551258486,18.2002270523032,0.102047664453744,0.136550281569362,0.970304023673911
M6,0.0542811737150635,0.809984093904495,0.00443268043120228,0.000833810051298866,0.00676050752448032,0.0508047952001232,0.143333642929792,0.00752729986106044
M7,0.0210421175483807,0.971131067350507,0.000155726855951807,0.000858477403145421,0.0291542211567733,0.000414526355553176,0.153438020218164,662.53848009814
M8,0.0588849001748906,0.89488668134436,0.000134359626131692,0.000733338115499193,340411.744493286,0.134748912797985,0.125802500592545,0.243426900298201
M9,0.0571791112214191,0.698612277954817,0.00477552562376213,0.00798752057506591,27703.0808200564,0.173165741296872,0.105629226192832,1.34290564471108
M10,0.0586157407346589,0.794723672162218,0.00532985594766148,0.013045297288044,1160.59427686269,0.000242743361254256,0.154154373391066,0.5819729541319
M11,0.0898224431678968,0.918467664718628,0.000178939626995643,0.00304184201269902,6.75907693998908,0.224881649281449,0.198908233642578,1.48422984330054
M12,0.0708270489916596,0.850056401640177,0.00296686063926157,0.00190705021720402,152.68302064815,0.0219744465036605,0.190518609061837,35.1195912264866
M13,0.0154783609713151,0.947264475495067,0.0010063523095494,0.000787301880270158,0.00826665571844352,0.000319523562175814,0.0979183812066092,1752.98517956685
M14,0.0360469687099971,0.657487594336271,0.00105128951168095,1.04001841111997e-05,2412.59407667219,0.00291649875792808,0.0865419585257769,19.2196918945908
M15,0.0976018539820814,0.862406492233276,0.000409608144755954,0.00844631381967445,9594224.74688046,0.115359122388783,0.146445441246033,18.2032528681102
M16,0.0586171060404426,0.875106450656495,0.000277821333744454,0.00191210866199482,1886024.16088571,0.0138669006091854,0.120636666023961,82.0818199054854
M17,0.048516205143433,0.853373831510544,0.00115376383281013,0.000485906193968914,137774.013108913,0.00193843994646287,0.148675259947777,59.716446941305
M18,0.0419222328597363,0.904723942606478,1.11883469222757e-05,0.000539420537347987,71.3706949385971,0.244251612889524,0.126243008767109,0.34724594087621
M19,0.12330290150765,0.721094404021278,0.000134779531396634,0.00435887858985079,4062.90181081951,0.000190422875092966,0.161030321917497,34.8002109531284
M20,0.0576463545106518,0.858684161957353,0.000146135563970137,0.00106692052808615,4637.88863870712,0.220532489517614,0.133311240444891,2.31770573515965
M21,0.0707579023423269,0.767583069531247,9.5734873211177e-05,0.00159137369081871,3141468.91706411,0.00402394114566563,0.120566017297097,7.01974443986404
M22,0.0593814589625523,0.874421358387917,2.43887507853376e-05,0.00225477331137775,5161123.05147515,0.000724559848887326,0.124504052358679,98.8792166103401
M23,0.0574304764099384,0.84203866747248,9.50012504099862e-05,0.00050082631858596,2238592.19569472,0.0352219203358033,0.118686028271986,5.91048756776414
M24,0.054626424805686,0.82485530105017,2.9787905126446e-05,0.00107936658047583,27299.2662672977,0.373561365419824,0.1422602360745,0.0115564342425169
